district,tip_doma,jk,year,floor,area,toilet,parking,status,num_rooms,price
Есильский,кирпичный,Boston Comfort House 2,2025,2,32.21 м²,,,черновая отделка,1,13 000 000〒
Нура,монолитный,Baizaman,2026,,114.1 м²,2 с/у и более,,,4,
Нура,кирпичный,GreenLine. Verda,2026,,72.27 м²,2 с/у и более,,,2,
Есильский,монолитный,MoD. Urban,2025,,111.96 м²,2 с/у и более,,,3,
Есильский,кирпичный,Manar,2026,,125.33 м²,2 с/у и более,,,4,
Нура,монолитный,Respublika,2025,9,82 м²,,паркинг,,3,58 900 000〒
Сарыарка,кирпичный,Лея,2009,6,"72 м², Площадь кухни — 12.9 м²",2 с/у и более,,,2,29 000 000〒
,кирпичный,Anisa,2022,1,43 м²,,,"не новый, но аккуратный ремонт",2,25 500 000〒
Алматы,кирпичный,TAMASHA,2025,11,"44 м², Площадь кухни — 20 м²",,,свежий ремонт,2,40 000 000〒
Сарайшык,,Центральный сквер,2023,4,"90 м², Площадь кухни — 17 м²",2 с/у и более,,,3,69 990 000〒
Сарыарка,панельный,,1975,3,"45 м², Площадь кухни — 6 м²",совмещенный,,,2,20 600 000〒
Алматы,кирпичный,Азия Плюс,2016,8,"180 м², Площадь кухни — 31 м²",,,свежий ремонт,3,95 000 000〒
Есильский,монолитный,Landmark Gold,2025,5,100 м²,,,черновая отделка,3,101 000 000〒
Есильский,монолитный,Assyl Tau,2021,14,50 м²,,,черновая отделка,1,40 000 000〒
Нура,кирпичный,Madrid 2,2023,12,"86 м², Площадь кухни — 16.4 м²",2 с/у и более,,,3,50 500 000〒
Сарыарка,кирпичный,Есиль,2008,8,100.8 м²,раздельный,,,3,60 000 000〒
Нура,кирпичный,Green Town,2024,3,45 м²,,,свежий ремонт,1,36 300 000〒
Сарайшык,кирпичный,Kemenger,2025,,97.25 м²,2 с/у и более,,,3,
Сарайшык,монолитный,Амирель,2023,,64.33 м²,совмещенный,,,2,
Сарыарка,монолитный,KHAN RESIDENCE,2024,,85.5 м²,раздельный,,,3,
Сарайшык,кирпичный,,2020,5,50.1 м²,,,"не новый, но аккуратный ремонт",2,29 000 000〒
Сарыарка,кирпичный,Rio de Janeiro,2023,3,"62.2 м², Площадь кухни — 9 м²",,,свежий ремонт,2,30 800 000〒
Есильский,монолитный,MoD. Urban,2025,5,"49.78 м², Площадь кухни — 7 м²",,паркинг,,2,45 000 000〒
Есильский,монолитный,Поколение Бизнес,2024,9,"58.7 м², Площадь кухни — 35 м²",,,свежий ремонт,2,56 990 000〒
Нура,монолитный,Respublika,2025,3,47 м²,,,свежий ремонт,2,33 500 000〒
Есильский,монолитный,Atlant,2021,21,70 м²,,,свежий ремонт,2,83 000 000〒
Сарыарка,панельный,,1992,1,49.9 м²,раздельный,,,2,25 000 000〒
Нура,монолитный,Turan Palace,2024,6,"65 м², Площадь кухни — 12 м²",,,свободная планировка,2,35 850 000〒
Есильский,монолитный,Capital Park. Art,2026,,155.86 м²,2 с/у и более,,,4,
Сарайшык,монолитный,Амирель,2023,,74.92 м²,2 с/у и более,,,3,
Есильский,кирпичный,Aisar,2024,1,50 м²,,,свежий ремонт,2,35 000 000〒
Алматы,монолитный,Арыстан,2020,13,"80 м², Площадь кухни — 14.2 м²",раздельный,,,2,42 900 000〒
Сарыарка,кирпичный,Гармония,2014,9,150 м²,2 с/у и более,,,5,66 000 000〒
Нура,монолитный,Arena. Lite,2025,2,"42 м², Площадь кухни — 10 м²",совмещенный,,,2,36 000 000〒
Сарыарка,монолитный,SHYRAQ,2026,9,65 м²,раздельный,,,2,32 500 000〒
Есильский,кирпичный,Aisar,2024,1,50 м²,,,свежий ремонт,2,35 000 000〒
Алматы,монолитный,Арыстан,2020,13,"80 м², Площадь кухни — 14.2 м²",раздельный,,,2,42 900 000〒
Сарыарка,кирпичный,Гармония,2014,9,150 м²,2 с/у и более,,,5,66 000 000〒
Нура,монолитный,Arena. Lite,2025,2,"42 м², Площадь кухни — 10 м²",совмещенный,,,2,36 000 000〒
Сарыарка,монолитный,SHYRAQ,2026,9,65 м²,раздельный,,,2,32 500 000〒
Сарыарка,кирпичный,Акан Серы,2022,2,69.4 м²,,,свежий ремонт,2,36 500 000〒
Сарыарка,кирпичный,Kolsai,2024,2,"65 м², Площадь кухни — 11 м²",совмещенный,,,2,42 500 000〒
Алматы,монолитный,Арыстан,2020,11,"49 м², Площадь кухни — 8.9 м²",совмещенный,,,2,24 900 000〒
Нура,кирпичный,Tengri,2023,9,80 м²,,,черновая отделка,2,40 000 000〒
Нура,монолитный,Respublika,2026,,41.5 м²,совмещенный,,,1,
Нура,кирпичный,Астана,2023,,49.2 м²,совмещенный,,,2,
Алматы,монолитный,,2019,6,"45 м², Площадь кухни — 7 м²",совмещенный,,,2,20 500 000〒
Байконур,монолитный,Алмалы,2016,15,"45 м², Площадь кухни — 8 м²",,,"не новый, но аккуратный ремонт",2,24 500 000〒
Есильский,монолитный,GreenLine.Зеленый квартал,2017,8,100 м²,,,"не новый, но аккуратный ремонт",3,100 000 000〒
Алматы,кирпичный,Safar,2018,6,39 м²,,паркинг,,2,23 500 000〒
Нура,монолитный,GAUHARTAS,2026,8,"96.5 м², Площадь кухни — 15.5 м²",,паркинг,,3,55 300 000〒
Есильский,монолитный,ЛЕЯ за рекой,2024,3,69 м²,,,,3,41 500 000〒
Есильский,монолитный,Тумар,2013,4,36 м²,,,,1,21 900 000〒
Есильский,монолитный,Sandi Qala,2025,15,42 м²,,,свежий ремонт,2,39 700 000〒
Байконур,монолитный,Фаворит,2013,15,88 м²,,,свежий ремонт,2,41 500 000〒
Байконур,монолитный,Фаворит,2013,15,88 м²,,,свежий ремонт,2,41 500 000〒
Алматы,монолитный,Highvill Ishim C,2021,10,"78 м², Площадь кухни — 15 м²",совмещенный,,,3,68 000 000〒
Алматы,иной,Кулан,2010,10,"60 м², Площадь кухни — 11.6 м²",,,свежий ремонт,2,36 000 000〒
Есильский,кирпичный,Family Park,2020,5,47.87 м²,,,черновая отделка,1,24 999 999〒
Сарайшык,монолитный,Sensata Plaza,2024,17,"42 м², Площадь кухни — 11 м²",совмещенный,,,1,39 500 000〒
Сарыарка,кирпичный,,2012,6,"37 м², Площадь кухни — 10 м²",,,,1,16 500 000〒
Сарыарка,монолитный,Торлет,2012,3,45 м²,совмещенный,,,2,25 500 000〒
Нура,монолитный,Камшат,2020,6,44.4 м²,совмещенный,,,2,23 200 000〒
Байконур,монолитный,Light House,2018,20,86 м²,совмещенный,,,3,51 000 000〒
Нура,монолитный,GreenLine. SAKURA,2026,8,"85 м², Площадь кухни — 13 м²",,паркинг,,3,74 500 000〒
Нура,монолитный,GAUHARTAS,2026,11,"70.5 м², Площадь кухни — 14 м²",,паркинг,,2,42 900 000〒
Нура,кирпичный,на улице Култегин,2024,9,"55 м², Площадь кухни — 11 м²",,,,2,34 500 000〒
Сарыарка,монолитный,Целиноград 4,2022,,131.6 м²,раздельный,,,4,
Нура,монолитный,GreenLine. Garden,2026,,130.97 м²,2 с/у и более,,,4,
Нура,монолитный,GreenLine. Garden,2027,,46.17 м²,совмещенный,,,2,
Нура,монолитный,GreenLine. 4YOU,2026,,140.17 м²,2 с/у и более,,,4,
Нура,монолитный,Respublika,2026,,64.8 м²,совмещенный,,,2,
Байконур,монолитный,Эдем палас-2,2016,4,"86.3 м², Площадь кухни — 9.7 м²",,,"не новый, но аккуратный ремонт",3,48 000 000〒
Алматы,кирпичный,,2022,4,54 м²,совмещенный,,свежий ремонт,2,29 500 000〒
Нура,монолитный,UIA.DARYN,2026,14,"34.52 м², Площадь кухни — 8.65 м²",,,свежий ремонт,1,24 500 000〒
Нура,монолитный,GAUHARTAS,2026,11,"70.5 м², Площадь кухни — 14 м²",,паркинг,,2,42 900 000〒
Нура,кирпичный,на улице Култегин,2024,9,"55 м², Площадь кухни — 11 м²",,,,2,34 500 000〒
Сарыарка,монолитный,Целиноград 4,2022,,131.6 м²,раздельный,,,4,
Нура,монолитный,GreenLine. Garden,2026,,130.97 м²,2 с/у и более,,,4,
Нура,монолитный,GreenLine. Garden,2027,,46.17 м²,совмещенный,,,2,
Нура,монолитный,GreenLine. 4YOU,2026,,140.17 м²,2 с/у и более,,,4,
Нура,монолитный,Respublika,2026,,64.8 м²,совмещенный,,,2,
Байконур,монолитный,Эдем палас-2,2016,4,"86.3 м², Площадь кухни — 9.7 м²",,,"не новый, но аккуратный ремонт",3,48 000 000〒
Алматы,кирпичный,,2022,4,54 м²,совмещенный,,свежий ремонт,2,29 500 000〒
Нура,монолитный,UIA.DARYN,2026,14,"34.52 м², Площадь кухни — 8.65 м²",,,свежий ремонт,1,24 500 000〒
Нура,монолитный,Delta,2024,2,69 м²,,,свежий ремонт,3,44 000 000〒
Алматы,монолитный,ХАБАР,2021,6,44.5 м²,,,свежий ремонт,2,31 500 000〒
Есильский,панельный,Nova City,2018,6,30 м²,совмещенный,,,1,20 000 000〒
Алматы,монолитный,ХАБАР,2021,4,"58.7 м², Площадь кухни — 12.7 м²",,,свежий ремонт,2,35 000 000〒
Сарайшык,кирпичный,Geneva 4,2025,11,"43.05 м², Площадь кухни — 12.8 м²",,,черновая отделка,1,17 650 500〒
Нура,монолитный,GreenLine.Vita,2023,2,"63 м², Площадь кухни — 12.9 м²",,,свежий ремонт,2,45 000 000〒
Есильский,монолитный,MOD Ultra,2026,,95.65 м²,2 с/у и более,,,3,
Есильский,монолитный,Jetisu Kerbez Comfort,2026,,59.18 м²,2 с/у и более,,,2,
Сарайшык,монолитный,Isma,2025,,115.92 м²,2 с/у и более,,,3,
Нура,монолитный,Respublika,2026,,39.4 м²,совмещенный,,,1,
Сарыарка,кирпичный,,2010,5,"53 м², Площадь кухни — 11 м²",,,"не новый, но аккуратный ремонт",2,24 500 000〒
Алматы,монолитный,Бейбарыс,2020,10,"120 м², Площадь кухни — 21 м²",,,,4,75 000 000〒
Есильский,монолитный,Capital Park. Emotions,2026,2,"64.37 м², Площадь кухни — 12.38 м²",,,черновая отделка,2,55 990 000〒
Есильский,кирпичный,Градокомплекс-2,2005,4,"52 м², Площадь кухни — 22.6 м²",,,"не новый, но аккуратный ремонт",2,29 900 000〒
Сарыарка,,Озен,2022,9,"107.5 м², Площадь кухни — 11.8 м²",2 с/у и более,,свежий ремонт,4,85 900 000〒
Есильский,монолитный,Capital Park. Emotions,2026,3,"37.4 м², Площадь кухни — 9.8 м²",,,черновая отделка,1,29 000 000〒
Алматы,кирпичный,Шанырак,2009,3,64 м²,,паркинг,,2,27 500 000〒
Есильский,монолитный,Коркем 3,2019,4,60 м²,совмещенный,,,2,39 000 000〒
,,,2025,10,68 м²,,,,2,32 500 000〒
Сарыарка,кирпичный,,2022,8,"33 м², Площадь кухни — 12 м²",совмещенный,,свежий ремонт,1,22 900 000〒
Нура,монолитный,Park City Forum,2025,,86.5 м²,2 с/у и более,,,3,
Сарыарка,монолитный,Turan Plaza,2027,,40.83 м²,совмещенный,,,1,
Нура,монолитный,Qasteev,2026,,110.92 м²,2 с/у и более,,,3,
Сарайшык,монолитный,Highvill Ishim,2018,8,48 м²,,,,2,40 500 000〒
Сарыарка,монолитный,KHAN RESIDENCE,2024,,65.6 м²,совмещенный,,,3,
Алматы,,,1999,3,33.6 м²,совмещенный,,,1,12 500 000〒
Есильский,монолитный,Cosmic City,2025,4,84 м²,,,,3,35 000 000〒
Сарыарка,кирпичный,Arai Apartments,2025,5,"116.55 м², Площадь кухни — 10 м²",,,черновая отделка,4,55 000 000〒
Сарыарка,кирпичный,,2008,10,"103 м², Площадь кухни — 12 м²",2 с/у и более,,"не новый, но аккуратный ремонт",3,38 000 000〒
Нура,монолитный,Respublika,2025,16,"67 м², Площадь кухни — 10 м²",совмещенный,,,3,38 800 000〒
Есильский,монолитный,Capital Park. Melody,2026,4,"36 м², Площадь кухни — 10 м²",,паркинг,,1,28 700 000〒
Сарайшык,монолитный,,2017,11,"69.8 м², Площадь кухни — 10 м²",2 с/у и более,,требует ремонта,3,34 500 000〒
Нура,кирпичный,Sezim Qala.Senim,2022,2,61 м²,,,"не новый, но аккуратный ремонт",3,41 000 000〒
Алматы,кирпичный,,2025,3,"63.5 м², Площадь кухни — 22 м²",раздельный,,,3,34 500 000〒
Нура,кирпичный,,2017,2,77.8 м²,,,,3,40 900 000〒
Алматы,монолитный,,2015,1,70.9 м²,раздельный,,,3,38 500 000〒
Есильский,монолитный,Capital Park. Art,2026,,118.03 м²,2 с/у и более,,,3,
Нура,монолитный,Respublika,2026,,39.4 м²,совмещенный,,,1,
Нура,монолитный,Syganak,2023,6,84 м²,,,свежий ремонт,3,50 500 000〒
Алматы,монолитный,Compass North,2022,9,60 м²,,,свежий ремонт,2,33 500 000〒
Сарыарка,кирпичный,Rio de Janeiro,2024,9,57 м²,,,,2,34 000 000〒
Алматы,кирпичный,,2004,3,"70 м², Площадь кухни — 12 м²",раздельный,,"не новый, но аккуратный ремонт",2,31 500 000〒
Сарыарка,кирпичный,Arai Apartments,2022,11,78.18 м²,,паркинг,,2,30 000 000〒
Нура,,,2022,3,"50 м², Площадь кухни — 10 м²",2 с/у и более,,свежий ремонт,2,21 000 000〒
Сарыарка,кирпичный,,2007,8,"98.9 м², Площадь кухни — 13.1 м²",раздельный,,,3,60 000 000〒
Сарайшык,монолитный,AMANAT,2025,7,80 м²,раздельный,,,3,41 000 000〒
Сарыарка,монолитный,Flagman,2023,14,"130 м², Площадь кухни — 14 м²",2 с/у и более,,,4,140 000 000〒
Алматы,кирпичный,Красная деревня,1997,5,"78 м², Площадь кухни — 11.6 м²",,,"не новый, но аккуратный ремонт",2,33 000 000〒
Есильский,монолитный,MOD Ultra,2026,,117.58 м²,2 с/у и более,,,4,
Нура,монолитный,UIA.DARYN,2026,,59.64 м²,совмещенный,,,2,
Сарайшык,монолитный,,2017,11,"69.8 м², Площадь кухни — 10 м²",2 с/у и более,,требует ремонта,3,34 500 000〒
Нура,кирпичный,Sezim Qala.Senim,2022,2,61 м²,,,"не новый, но аккуратный ремонт",3,41 000 000〒
Алматы,кирпичный,,2025,3,"63.5 м², Площадь кухни — 22 м²",раздельный,,,3,34 500 000〒
Нура,кирпичный,,2017,2,77.8 м²,,,,3,40 900 000〒
Алматы,монолитный,,2015,1,70.9 м²,раздельный,,,3,38 500 000〒
Есильский,монолитный,Capital Park. Art,2026,,118.03 м²,2 с/у и более,,,3,
Нура,монолитный,Respublika,2026,,39.4 м²,совмещенный,,,1,
Нура,монолитный,Syganak,2023,6,84 м²,,,свежий ремонт,3,50 500 000〒
Алматы,монолитный,Compass North,2022,9,60 м²,,,свежий ремонт,2,33 500 000〒
Сарыарка,кирпичный,Rio de Janeiro,2024,9,57 м²,,,,2,34 000 000〒
Алматы,кирпичный,,2004,3,"70 м², Площадь кухни — 12 м²",раздельный,,"не новый, но аккуратный ремонт",2,31 500 000〒
Сарыарка,кирпичный,Arai Apartments,2022,11,78.18 м²,,паркинг,,2,30 000 000〒
Нура,,,2022,3,"50 м², Площадь кухни — 10 м²",2 с/у и более,,свежий ремонт,2,21 000 000〒
Сарыарка,кирпичный,,2007,8,"98.9 м², Площадь кухни — 13.1 м²",раздельный,,,3,60 000 000〒
Сарайшык,монолитный,AMANAT,2025,7,80 м²,раздельный,,,3,41 000 000〒
Сарыарка,монолитный,Flagman,2023,14,"130 м², Площадь кухни — 14 м²",2 с/у и более,,,4,140 000 000〒
Алматы,кирпичный,Красная деревня,1997,5,"78 м², Площадь кухни — 11.6 м²",,,"не новый, но аккуратный ремонт",2,33 000 000〒
Есильский,монолитный,MOD Ultra,2026,,117.58 м²,2 с/у и более,,,4,
Нура,монолитный,UIA.DARYN,2026,,59.64 м²,совмещенный,,,2,
Есильский,монолитный,Nexpo Aura,2026,,146.92 м²,2 с/у и более,,,4,
Нура,монолитный,Baizaman,2026,,84.4 м²,2 с/у и более,,,3,
Есильский,монолитный,MoD. Urban,2025,,114.36 м²,2 с/у и более,,,3,
Сарайшык,кирпичный,,2017,1,"115 м², Площадь кухни — 25 м²",2 с/у и более,,,4,20 500 000〒
Нура,кирпичный,BAIMURA,2025,6,50 м²,,,свежий ремонт,2,40 500 000〒
Есильский,кирпичный,Alma Park,2022,1,95.5 м²,2 с/у и более,,,4,75 000 000〒
Есильский,панельный,Сауран,2019,8,120 м²,,,"не новый, но аккуратный ремонт",4,90 000 000〒
Есильский,монолитный,Сармат-1,2012,11,"60 м², Площадь кухни — 11 м²",,,свежий ремонт,2,40 500 000〒
,монолитный,,2015,7,"42.7 м², Площадь кухни — 10.3 м²",совмещенный,,"не новый, но аккуратный ремонт",1,22 600 000〒
Сарыарка,кирпичный,Эксклюзив,2016,2,"50 м², Площадь кухни — 15 м²",,,"не новый, но аккуратный ремонт",2,26 000 000〒
Есильский,кирпичный,Уркер city,2020,4,"53.9 м², Площадь кухни — 15 м²",совмещенный,,,2,20 500 000〒
Байконур,кирпичный,,1970,5,"58.1 м², Площадь кухни — 3.6 м²",совмещенный,,,3,29 900 000〒
Алматы,панельный,,1990,4,"107.5 м², Площадь кухни — 12 м²",совмещенный,,,4,40 000 000〒
Сарыарка,кирпичный,,2022,6,"95 м², Площадь кухни — 12 м²",раздельный,,,3,65 000 000〒
Нура,монолитный,Delta,2025,9,40 м²,,,свежий ремонт,1,29 800 000〒
Есильский,монолитный,Cosmic City,2025,4,"40.31 м², Площадь кухни — 9.76 м²",,,,1,20 000 000〒
Сарыарка,кирпичный,,1979,1,18 м²,,,,1,9 300 000〒
Нура,монолитный,Park City Forum,2025,,68 м²,совмещенный,,,2,
Нура,монолитный,UIA.DARYN,2026,,84.59 м²,2 с/у и более,,,3,
Сарайшык,монолитный,Auez,2026,,116.95 м²,2 с/у и более,,,4,
Нура,монолитный,Citylake,2017,11,"60 м², Площадь кухни — 11.1 м²",,паркинг,,2,40 000 000〒
Сарыарка,кирпичный,Эксклюзив,2016,2,"50 м², Площадь кухни — 15 м²",,,"не новый, но аккуратный ремонт",2,26 000 000〒
Есильский,кирпичный,Уркер city,2020,4,"53.9 м², Площадь кухни — 15 м²",совмещенный,,,2,20 500 000〒
Байконур,кирпичный,,1970,5,"58.1 м², Площадь кухни — 3.6 м²",совмещенный,,,3,29 900 000〒
Алматы,панельный,,1990,4,"107.5 м², Площадь кухни — 12 м²",совмещенный,,,4,40 000 000〒
Сарыарка,кирпичный,,2022,6,"95 м², Площадь кухни — 12 м²",раздельный,,,3,65 000 000〒
Нура,монолитный,Delta,2025,9,40 м²,,,свежий ремонт,1,29 800 000〒
Есильский,монолитный,Cosmic City,2025,4,"40.31 м², Площадь кухни — 9.76 м²",,,,1,20 000 000〒
Сарыарка,кирпичный,,1979,1,18 м²,,,,1,9 300 000〒
Нура,монолитный,Park City Forum,2025,,68 м²,совмещенный,,,2,
Нура,монолитный,UIA.DARYN,2026,,84.59 м²,2 с/у и более,,,3,
Сарайшык,монолитный,Auez,2026,,116.95 м²,2 с/у и более,,,4,
Нура,монолитный,Citylake,2017,11,"60 м², Площадь кухни — 11.1 м²",,паркинг,,2,40 000 000〒
Байконур,кирпичный,Шапагат нуры,2008,11,140 м²,,,,3,56 000 000〒
Алматы,монолитный,SARDAR,2022,9,75 м²,,,свежий ремонт,3,50 000 000〒
Сарыарка,кирпичный,Rio de Janeiro,2020,9,36.8 м²,,,черновая отделка,1,20 800 000〒
Алматы,кирпичный,Айдидар,2018,4,"63 м², Площадь кухни — 12 м²",раздельный,,,2,41 500 000〒
Есильский,кирпичный,Багыстан,2022,4,"58.2 м², Площадь кухни — 14 м²",,,свежий ремонт,2,32 500 000〒
Нура,монолитный,Respublika,2023,12,42 м²,,,свежий ремонт,2,33 000 000〒
Есильский,монолитный,Salt 1,2025,6,"47.2 м², Площадь кухни — 15 м²",,,черновая отделка,1,24 500 000〒
Нура,монолитный,Arena Style,2026,5,89.13 м²,,паркинг,,3,63 000 000〒
Есильский,монолитный,Коркем 2,2016,7,"125 м², Площадь кухни — 16 м²",,,свежий ремонт,4,82 000 000〒
Есильский,монолитный,Capital Park.Sky,2025,12,"111.24 м², Площадь кухни — 16 м²",,паркинг,,3,97 000 000〒
Есильский,монолитный,MoD. Standard,2025,4,"41.5 м², Площадь кухни — 12 м²",раздельный,,,2,38 000 000〒
